nome,popularidade,seguidores,imagem
Doode,57,59131,https://i.scdn.co/image/ab6761610000e5ebfb532bf5815c2dfc9a8f1c6b
Reid,57,45784,https://i.scdn.co/image/ab6761610000e5ebdcd940f946dc180cdbe0ac31
Kalli,49,70600,https://i.scdn.co/image/ab6761610000e5ebf9a5c2131d21474b68f218ce
Welisson,48,74651,https://i.scdn.co/image/ab6761610000e5ebd08fb016115d14c9d0043b7d
Mateca,60,87692,https://i.scdn.co/image/ab6761610000e5eb9661b2333b71e9eee2f67bfb
MC Caverinha,51,337513,https://i.scdn.co/image/ab6761610000e5eb2c5f2d575259daff9b401e22
Marcos Baroni,48,21576,https://i.scdn.co/image/ab6761610000e5ebbe21b61d87186e111d014856
Dudu,61,166859,https://i.scdn.co/image/ab6761610000e5ebb64ac971edc9e9b9daa3bb12
Kawe,63,742368,https://i.scdn.co/image/ab6761610000e5ebe8deed51034a36abb2ed9601
Burn-O,47,41385,https://i.scdn.co/image/ab6761610000e5eb8a80c916fdfd4dd827775e8f
Kant,55,271412,https://i.scdn.co/image/ab6761610000e5ebbe518c345d2010d755b320c2
Tillmann,50,8166,https://i.scdn.co/image/ab6761610000e5eb709e0c3b4c067e843d32dc70
Teto,37,26100,https://i.scdn.co/image/ab67616d0000b273af2b08150e23d0d075dd84f7
Alee,58,78889,https://i.scdn.co/image/ab6761610000e5eb5b580137f5a03e75c80bc218
Krawk,53,456536,https://i.scdn.co/image/ab6761610000e5ebbbb0a453cfb645520c0e9bcd
Jovem Dex,61,768437,https://i.scdn.co/image/ab6761610000e5eb79b72db344870fd55472a1aa
Japa,56,160052,https://i.scdn.co/image/ab6761610000e5eb5f74bf77dfb2cd7aa3124469
Duzz,58,275591,https://i.scdn.co/image/ab6761610000e5eb8181813a737ce8cfa66ef575
Tropa do Bruxo,47,128509,https://i.scdn.co/image/ab6761610000e5eb610723908556fd92ab939e10
Only,50,34746,https://i.scdn.co/image/ab6761610000e5eb9e0fff5551f0c98f4beacd18
