artista,id_artista,album,id_album,lancamento,musica,id_musica,popularidade,preview_url,imagem,ano_lancamento
Matheus Fernandes,37mqXU98U5GmH5ZDtlHM1c,"MF No Rio, Vol. 1 (Ao Vivo)",2P8zuC56lsghvc5KHP4rfQ,2023-01-06,Popó - Ao Vivo,24uqb8GiZ3vPbDRHsr1QSK,54,https://p.scdn.co/mp3-preview/a7fba5f698599826309080e2c0d476ce3fc16556?cid=a3833ea9fb0c4cf1b192909666407b1c,https://i.scdn.co/image/ab6761610000e5eb5887ba63fbaf1f150632e52b,2023
Lil Whind,3r3YJUzNBJc9y703QG8zkr,Vivência,5NvmkNmpY7yiDDDMdLGenW,2022-08-19,Barulho de Chuva,1NpfKlm4c7JSNM7PkPSvHr,47,https://p.scdn.co/mp3-preview/d9d63123cb3818382f3feff57aba6dc718c7c600?cid=a3833ea9fb0c4cf1b192909666407b1c,https://i.scdn.co/image/ab6761610000e5eb5887ba63fbaf1f150632e52b,2022
Lil Whind,3r3YJUzNBJc9y703QG8zkr,PIAUÍ,5vT7cvpWzUDbLf3W9G9Ycs,2020-09-25,Piauí (feat. Rapadura),2JkQfYB2dX0PU5IA4BnfNm,45,https://p.scdn.co/mp3-preview/edf9136368c3e384bc70c53ad194073ee043a3bf?cid=a3833ea9fb0c4cf1b192909666407b1c,https://i.scdn.co/image/ab6761610000e5eb5887ba63fbaf1f150632e52b,2020
Lil Whind,3r3YJUzNBJc9y703QG8zkr,Vivência,5NvmkNmpY7yiDDDMdLGenW,2022-08-19,Rolê de Fortal,3nAu04esXSliqLvNxOFEpD,44,https://p.scdn.co/mp3-preview/867c4a2492a14d3ab8733fa5952ced525a50bcfc?cid=a3833ea9fb0c4cf1b192909666407b1c,https://i.scdn.co/image/ab6761610000e5eb5887ba63fbaf1f150632e52b,2022
Lil Whind,3r3YJUzNBJc9y703QG8zkr,PIAUÍ,5vT7cvpWzUDbLf3W9G9Ycs,2020-09-25,Cerrado,6FBvvUSJ18zvbOgKsrTegX,42,https://p.scdn.co/mp3-preview/86dc100307535e4b899855078fbdc942c7c29f9c?cid=a3833ea9fb0c4cf1b192909666407b1c,https://i.scdn.co/image/ab6761610000e5eb5887ba63fbaf1f150632e52b,2020
Lil Whind,3r3YJUzNBJc9y703QG8zkr,Alok,5lm8TXDnp0tA8fNusiU6I2,2022-02-25,Alok,0MdGA1JNGYoXtLKvlH1fV9,42,https://p.scdn.co/mp3-preview/d2bfbd48d6568c3f0fef05ce636ea61a7a8ca5d6?cid=a3833ea9fb0c4cf1b192909666407b1c,https://i.scdn.co/image/ab6761610000e5eb5887ba63fbaf1f150632e52b,2022
Lil Whind,3r3YJUzNBJc9y703QG8zkr,Vivência,5NvmkNmpY7yiDDDMdLGenW,2022-08-19,Rockstar (feat. Matheus Gadelha),0xijGJFafQsh0q8DU3ldl3,40,https://p.scdn.co/mp3-preview/895a47bffbe11e52d84c7eb8c208363d635b2be5?cid=a3833ea9fb0c4cf1b192909666407b1c,https://i.scdn.co/image/ab6761610000e5eb5887ba63fbaf1f150632e52b,2022
Lil Whind,3r3YJUzNBJc9y703QG8zkr,PIAUÍ,5vT7cvpWzUDbLf3W9G9Ycs,2020-09-25,Trap do Gago,0Fdrn8Q2ssLCmvGjxgBjrm,39,https://p.scdn.co/mp3-preview/9c5a348e5debf0ccf7c111f8d3683e43b62b2812?cid=a3833ea9fb0c4cf1b192909666407b1c,https://i.scdn.co/image/ab6761610000e5eb5887ba63fbaf1f150632e52b,2020
Lil Whind,3r3YJUzNBJc9y703QG8zkr,Frente & Verso,5YVu9GPffKY7yzcuTRbDm1,2021-10-15,Vida,0KjPr8HO4OqYcgJJjvuJ7M,38,https://p.scdn.co/mp3-preview/c64d2ca9b21342df20e24d370eb3da0dca2811f0?cid=a3833ea9fb0c4cf1b192909666407b1c,https://i.scdn.co/image/ab6761610000e5eb5887ba63fbaf1f150632e52b,2021
Lil Whind,3r3YJUzNBJc9y703QG8zkr,Frente & Verso,5YVu9GPffKY7yzcuTRbDm1,2021-10-15,Mó Tristeza,2w72YvAqkZUqFjm8rLTHdt,37,https://p.scdn.co/mp3-preview/b09918ed17141f1785f39b3b583de526f6516127?cid=a3833ea9fb0c4cf1b192909666407b1c,https://i.scdn.co/image/ab6761610000e5eb5887ba63fbaf1f150632e52b,2021
