nome,id,lançamento,numero_de_musicas,imagem,categoria,tipo,qtde_artistas,artista
Morena (feat. João Gomes),5ecH8b9GnLPeALSWbCbkxS,2021-11-26,1,https://i.scdn.co/image/ab67616d0000b27381b9257f03edd939f62f69d5,single,single,2,Whindersson Nunes
Morena (feat. João Gomes),3Ca37Swc1ppGT2uJtRbnvV,2021-11-26,1,https://i.scdn.co/image/ab67616d0000b27352cb43983e85f5b4595809ce,single,single,1,Whindersson Nunes
Baião,5plmtJTPOSJFfWS9n4m1Dz,2021-09-17,1,https://i.scdn.co/image/ab67616d0000b273038327e405f375bf492b96bc,single,single,3,Alok
Paraíso (Acústico),5UVBBD6zh6Z732Ty6kgs1H,2020-10-30,1,https://i.scdn.co/image/ab67616d0000b273a40fa13f88476150bdf7e289,single,single,2,Luan Otten
Paraíso,5JJJgtNHFcvrcbJo3kNk0F,2020-08-21,1,https://i.scdn.co/image/ab67616d0000b27302ceb009831738d82ff3c084,single,single,2,Luan Otten
Hit Do Pão,2bHCNmyZ7hMdymPuq5gBkL,2020-02-14,1,https://i.scdn.co/image/ab67616d0000b273949222af9d85f49c34cf9cf2,single,single,3,Tirullipa
Coisa Linda,6ii8TbytZzxOTUDfccrDlW,2020-01-24,1,https://i.scdn.co/image/ab67616d0000b273049cae470d4dc607af6539f1,single,single,2,Ivete Sangalo
Girassol,3NpsEXK612BTwLLIFQECxO,2019-12-12,1,https://i.scdn.co/image/ab67616d0000b2739d459496365f883594747504,single,single,2,Priscilla Alcantara
Eu Vou Tu Vai,1yXGg7fl1KQzEjkkSSlpHe,2019-02-04,1,https://i.scdn.co/image/ab67616d0000b273a4a38c262e106ab0dbb082fe,single,single,3,Tirullipa
Na Sua Cara,41CbnMlP4ufxhGC2I8nHfg,2017-09-03,1,https://i.scdn.co/image/ab67616d0000b273ca9a98a24642e84950a63aba,single,single,1,Whindersson Nunes
Novidades Verao 2021,6bgLQMgj9jgy2NMre49nzV,2021-02-05,25,https://i.scdn.co/image/ab67616d0000b273a3788c8431f5087f63a0f22f,appears_on,compilation,1,Various Artists
Modo Turbo no Verao,3BhwCcoVuXCedP0rTYRtFt,2021-01-29,26,https://i.scdn.co/image/ab67616d0000b273e9f4ec61cb8528299a3cd5d6,appears_on,compilation,1,Various Artists
Esquenta Carnaval em Casa,5S43hDkY4yZybOgGTVs22f,2021-01-29,21,https://i.scdn.co/image/ab67616d0000b2733083e635828d99352d6a92d7,appears_on,compilation,1,Various Artists
Filtr Karaoke - Sucessos,2t1tWGHFfwgv50YyWlHWzt,2020-11-27,10,https://i.scdn.co/image/ab67616d0000b27306cd45dc0a21e32a105440a2,appears_on,album,1,Filtr Karaoke
Gospel Mais Tocadas,6Ux7aFNQdtTMpuXLj1jPqn,2020-06-05,56,https://i.scdn.co/image/ab67616d0000b27303bfc6f799ca77407cafb798,appears_on,compilation,1,Various Artists
Priscilla Alcantara Top Hits,0tk0sJgH0o1fqJw1Q91eo9,2020-05-28,26,https://i.scdn.co/image/ab67616d0000b273d86c1f224745bdb28a4d750a,appears_on,compilation,1,Priscilla Alcantara
Melhores Priscilla Alcantara,57CPm2mpdre07igIFDzwCJ,2020-05-28,26,https://i.scdn.co/image/ab67616d0000b27395f46139f7df761a6bbbaf52,appears_on,compilation,1,Priscilla Alcantara
Priscilla Alcantara As Melhores,05p7yeYKA8BLyDIdEN7BrS,2020-05-28,26,https://i.scdn.co/image/ab67616d0000b2730a15582cabcb0d34737645ec,appears_on,compilation,1,Priscilla Alcantara
Priscilla Alcantara Mais Tocadas,0Mv87xnZIwRZ9GlGSvF2Qc,2020-05-28,26,https://i.scdn.co/image/ab67616d0000b27308735e355d02268ebc4c1d1e,appears_on,compilation,1,Priscilla Alcantara
Música Gospel Pra Relaxar,4SpPnhBWJB9cDSfy6sBdl1,2020-05-22,72,https://i.scdn.co/image/ab67616d0000b2731db7e09d4c09f6825d4d217f,appears_on,compilation,1,Various Artists
