Título,Player,Comentários
Lil Whind - Piauí (feat. Rapadura),"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/tNcMrdAeJeU"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>",15000
Lil Whind - Trap do Gago,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/0kJV1Ctiubk"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>",12380
Lil Whind - Calor do Carai (feat. Hungria Hip Hop),"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/lKJ3UYDKOl0"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>",5744
Lil Whind - Cerrado,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/nyaw7FfSMTk"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>",3054
Lil Whind - Cachorro Caramelo (feat. Matheus Gadelha),"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/qjVD3cX-Wqc"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>",2941
Lil Whind - Mãe,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/kdpGcyRteHg"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>",2800
Lil Whind - Caribe,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/YVRSqEWh20s"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>",2437
Lil Whind - Tempo,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/d_onQZuBd7c"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>",2361
Lil Whind - Cuscuz,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/GqutEnlLX6o"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>",2209
Lil Whind - Catinga de Bosta,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/cODPJ9E2tDM"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>",1713
