Título,Player,Visualizações
Lil Whind - Piauí (feat. Rapadura),"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/tNcMrdAeJeU"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>",17833676
Lil Whind - Trap do Gago,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/0kJV1Ctiubk"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>",10470274
Lil Whind - Calor do Carai (feat. Hungria Hip Hop),"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/lKJ3UYDKOl0"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>",4528208
Lil Whind - Cachorro Caramelo (feat. Matheus Gadelha),"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/qjVD3cX-Wqc"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>",3592240
Lil Whind - Mãe,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/kdpGcyRteHg"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>",3572555
Lil Whind - Cerrado,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/nyaw7FfSMTk"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>",2641489
Lil Whind - Caribe,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/YVRSqEWh20s"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>",2584982
Lil Whind - Tempo,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/d_onQZuBd7c"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>",2208929
Lil Whind - Cuscuz,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/GqutEnlLX6o"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>",1740151
Lil Whind - Amor Quântico,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/KE7Do_JxDOY"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>",1659062
