titulo_video,publicacao,imagem,player_video,comentarios,favoritos,likes,visualizacoes,nome_playlist
Lil Whind - Tempo,25/09/2020,https://i.ytimg.com/vi/d_onQZuBd7c/mqdefault.jpg,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/d_onQZuBd7c"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>",2361,0,111726,2208929,PIAUÍ
Lil Whind - Caribe,25/09/2020,https://i.ytimg.com/vi/YVRSqEWh20s/mqdefault.jpg,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/YVRSqEWh20s"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>",2437,0,91320,2584982,PIAUÍ
Lil Whind - Mãe,25/09/2020,https://i.ytimg.com/vi/kdpGcyRteHg/mqdefault.jpg,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/kdpGcyRteHg"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>",2800,0,132199,3572555,PIAUÍ
Lil Whind - Cerrado,25/09/2020,https://i.ytimg.com/vi/nyaw7FfSMTk/mqdefault.jpg,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/nyaw7FfSMTk"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>",3054,0,112872,2641489,PIAUÍ
Lil Whind - Cuscuz,25/09/2020,https://i.ytimg.com/vi/GqutEnlLX6o/mqdefault.jpg,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/GqutEnlLX6o"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>",2209,0,91606,1740151,PIAUÍ
Lil Whind - Calor do Carai (feat. Hungria Hip Hop),25/09/2020,https://i.ytimg.com/vi/lKJ3UYDKOl0/mqdefault.jpg,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/lKJ3UYDKOl0"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>",5744,0,232142,4528208,PIAUÍ
Lil Whind - Amor Quântico,25/09/2020,https://i.ytimg.com/vi/KE7Do_JxDOY/mqdefault.jpg,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/KE7Do_JxDOY"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>",1457,0,72659,1659062,PIAUÍ
Lil Whind - Cachorro Caramelo (feat. Matheus Gadelha),25/09/2020,https://i.ytimg.com/vi/qjVD3cX-Wqc/mqdefault.jpg,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/qjVD3cX-Wqc"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>",2941,0,141741,3592240,PIAUÍ
Lil Whind - Catinga de Bosta,25/09/2020,https://i.ytimg.com/vi/cODPJ9E2tDM/mqdefault.jpg,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/cODPJ9E2tDM"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>",1713,0,69081,1123156,PIAUÍ
Lil Whind - Trap do Gago,25/09/2020,https://i.ytimg.com/vi/0kJV1Ctiubk/mqdefault.jpg,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/0kJV1Ctiubk"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>",12380,0,416454,10470274,PIAUÍ
