Ano de publicação,Estatística,Quantidade
2013,Comentários,95002
2015,Comentários,159669
2016,Comentários,102979
2017,Comentários,252089
2019,Comentários,64021
2021,Comentários,54288
2022,Comentários,29319
2013,Likes,3729236
2015,Likes,3866739
2016,Likes,3941957
2017,Likes,9576612
2019,Likes,3510070
2021,Likes,1861308
2022,Likes,1091216
2013,Visualizações,57731905
2015,Visualizações,78494863
2016,Visualizações,51877228
2017,Visualizações,181090994
2019,Visualizações,37737065
2021,Visualizações,24857946
2022,Visualizações,7089503
