Vídeo,id_video,Assista,Estatística,Quantidade
QUAL É A SENHA DO WIFI - Paródia Adele - Hello,tWs1E2BfNZE,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/tWs1E2BfNZE"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>",Likes,3866739
EU CANSEI DE SER POBRE | Paródia Ed Sheeran - Shape of You [Official Video],UmmXiN93btM,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/UmmXiN93btM"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>",Likes,3020899
LARGA MEU BOY | PARÓDIA The Weeknd - Starboy (official) ft. Daft Punk,oWWsLI_IVKk,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/oWWsLI_IVKk"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>",Likes,2500925
DIETA PRA QUÊ | Paródia MC Kekel - Namorar Pra Quê? (KondZilla),kDiLBokEW3g,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/kDiLBokEW3g"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>",Likes,2210358
"SÓ OS CAMBITO | PARÓDIA Luis Fonsi, Daddy Yankee - Despacito (Audio) ft. Justin Bieber",J5nAujZEKmU,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/J5nAujZEKmU"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>",Likes,1844430
TIRAR UM SELFIE | Paródia LOVE YOURSELF - Justin Bieber,kPd3zaOfnVw,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/kPd3zaOfnVw"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>",Likes,1513273
OITAVA SÉRIE | Paródia Estaca Zero Luan Santana Ft Ivete Sangalo,t0xIrbaHuy8,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/t0xIrbaHuy8"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>",Likes,1440029
COMO ME SINTO QUANDO.. VOU COMER E CHEGA VISITA,XTNte5iFZic,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/XTNte5iFZic"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>",Likes,1076635
PARÓDIA ESCREVE AI - LUAN SANTANA (Dia das mães),nWqZTcEctDU,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/nWqZTcEctDU"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>",Likes,988655
"Alô vó, tô reprovado (OFICIAL) PARÓDIA ""Alô vó, Tô estourado Forró Safado Clip oficial""",o08OoWPWbls,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/o08OoWPWbls"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>",Likes,934701
