titulo_video,id_video,data_publicacao,imagem,player_video,estatisticas,comentarios,favoritos,likes,visualizacoes,id_playlist,nome_playlist
VEDA # 01 - MINHA CASA EM FORTAL,d616HI34WsI,2022-04-02T06:52:05Z,https://i.ytimg.com/vi/d616HI34WsI/mqdefault.jpg,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/d616HI34WsI"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>","{'viewCount': '1980986', 'likeCount': '354357', 'favoriteCount': '0', 'commentCount': '9094'}",9094,0,354357,1980986,PLypClbHDpCW0dYckCViQEEBj2ztjG545I,VEDA
VEDA # 02 - BASTIDORES E ESTREIA EM FORTAL,JXH31F0Rook,2022-04-03T05:52:56Z,https://i.ytimg.com/vi/JXH31F0Rook/mqdefault.jpg,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/JXH31F0Rook"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>","{'viewCount': '586945', 'likeCount': '116395', 'favoriteCount': '0', 'commentCount': '3219'}",3219,0,116395,586945,PLypClbHDpCW0dYckCViQEEBj2ztjG545I,VEDA
"VEDA # 03 - MEU AP EM FORTALEZA, FUSCÃO PRETO",L4NsV3_R45A,2022-04-04T05:08:15Z,https://i.ytimg.com/vi/L4NsV3_R45A/mqdefault.jpg,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/L4NsV3_R45A"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>","{'viewCount': '976506', 'likeCount': '118812', 'favoriteCount': '0', 'commentCount': '3589'}",3589,0,118812,976506,PLypClbHDpCW0dYckCViQEEBj2ztjG545I,VEDA
"VEDA # 04 - REGINA CHEGOU, PRÉVIAS DO LIL WHIND",z7nAQVbr5eY,2022-04-05T17:30:41Z,https://i.ytimg.com/vi/z7nAQVbr5eY/mqdefault.jpg,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/z7nAQVbr5eY"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>","{'viewCount': '450052', 'likeCount': '65271', 'favoriteCount': '0', 'commentCount': '1948'}",1948,0,65271,450052,PLypClbHDpCW0dYckCViQEEBj2ztjG545I,VEDA
VEDA # 05 - RACHA DO NATHANZIN,w3PFJrkkZl4,2022-04-06T13:46:19Z,https://i.ytimg.com/vi/w3PFJrkkZl4/mqdefault.jpg,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/w3PFJrkkZl4"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>","{'viewCount': '406462', 'likeCount': '58237', 'favoriteCount': '0', 'commentCount': '1406'}",1406,0,58237,406462,PLypClbHDpCW0dYckCViQEEBj2ztjG545I,VEDA
VEDA # 06 - MEUS FÃS SÃO TALENTOSOS,p8oPpGGq7xw,2022-04-06T22:35:07Z,https://i.ytimg.com/vi/p8oPpGGq7xw/mqdefault.jpg,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/p8oPpGGq7xw"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>","{'viewCount': '260383', 'likeCount': '47269', 'favoriteCount': '0', 'commentCount': '1993'}",1993,0,47269,260383,PLypClbHDpCW0dYckCViQEEBj2ztjG545I,VEDA
VEDA # 07 - LUTE COMIGO,zpRvyW9cXI0,2022-04-08T04:25:39Z,https://i.ytimg.com/vi/zpRvyW9cXI0/mqdefault.jpg,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/zpRvyW9cXI0"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>","{'viewCount': '245195', 'likeCount': '38744', 'favoriteCount': '0', 'commentCount': '1258'}",1258,0,38744,245195,PLypClbHDpCW0dYckCViQEEBj2ztjG545I,VEDA
VEDA # 08 - GRAVANDO UMA PUBLI E VISITINHA ÁREA,O_DicCSBW5M,2022-04-11T03:38:39Z,https://i.ytimg.com/vi/O_DicCSBW5M/mqdefault.jpg,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/O_DicCSBW5M"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>","{'viewCount': '229093', 'likeCount': '36396', 'favoriteCount': '0', 'commentCount': '850'}",850,0,36396,229093,PLypClbHDpCW0dYckCViQEEBj2ztjG545I,VEDA
VEDA # 10 - PRIMEIRA VEZ DO JEREDY NA PRAIA,5ZFOXIfKPus,2022-04-13T02:40:52Z,https://i.ytimg.com/vi/5ZFOXIfKPus/mqdefault.jpg,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/5ZFOXIfKPus"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>","{'viewCount': '505299', 'likeCount': '67528', 'favoriteCount': '0', 'commentCount': '1451'}",1451,0,67528,505299,PLypClbHDpCW0dYckCViQEEBj2ztjG545I,VEDA
VEDA # 11 - CONHECI O SIDOKA E MD CHEFE,WSNIR9TCzpc,2022-04-17T19:03:38Z,https://i.ytimg.com/vi/WSNIR9TCzpc/mqdefault.jpg,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/WSNIR9TCzpc"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>","{'viewCount': '469436', 'likeCount': '67638', 'favoriteCount': '0', 'commentCount': '1114'}",1114,0,67638,469436,PLypClbHDpCW0dYckCViQEEBj2ztjG545I,VEDA
